,lambda,count_non_zero
0,541.4826026332282,1
1,270.7413013166141,2
2,135.37065065830706,4
3,67.68532532915353,7
4,33.842662664576764,12
5,16.921331332288382,19
6,8.460665666144191,27
7,4.2303328330720955,46
8,2.1151664165360478,63
9,1.0575832082680239,75
10,0.5287916041340119,82
11,0.26439580206700597,89
12,0.13219790103350298,92
13,0.06609895051675149,94
14,0.033049475258375746,94
15,0.016524737629187873,94
