,train_mse,test_mse
0,0.10958369905956106,0.11610551378446111
1,0.08591094027863595,0.09354305375229167
2,0.0785606227016075,0.08676849820286722
3,0.07562512520015598,0.08433323452526385
4,0.07440436541497818,0.08326717927247684
5,0.07377302275859302,0.0827504049403561
6,0.07340469960025754,0.08238239702058972
7,0.07306224505923638,0.0820631773761337
8,0.0726411901459411,0.081733742015023
9,0.0723336818462445,0.08171840740434742
10,0.07218761638185342,0.08188342256134984
11,0.07211944894618054,0.08191923328497956
12,0.07208995903479448,0.08194873756027743
13,0.07207398680412296,0.08199577281152447
14,0.07206696464007227,0.08202590537024977
15,0.07206368883953822,0.08204180347973833
